activity_id,project_id,wbs,discipline,activity_name,activity_description,equipment_tag,location,work_package,predecessor_activity_id,planned_start,planned_finish,planned_duration_days,baseline_status
CIV-001,SYN-IND-001,Pump Area A/Civil,Civil,Excavate foundation F-101,Excavation for equipment foundation F-101,F-101,Pump Area A,Civil,,2026-01-05,2026-01-07,3,Not Started
CIV-002,SYN-IND-001,Pump Area A/Civil,Civil,Cast concrete foundation F-101,Concrete pouring and casting for foundation F-101,F-101,Pump Area A,Civil,CIV-001,2026-01-09,2026-01-12,4,Not Started
CIV-003,SYN-IND-001,Pump Area A/Civil,Civil,Cure foundation F-101,Curing and strength development for foundation F-101,F-101,Pump Area A,Civil,CIV-002,2026-01-14,2026-01-18,5,Not Started
MEC-004,SYN-IND-001,Pump Area A/Mechanical,Mechanical,Install pump P-101,Position and install centrifugal pump P-101,P-101,Pump Area A,Mechanical,CIV-003,2026-01-20,2026-01-22,3,Not Started
MEC-005,SYN-IND-001,Pump Area A/Mechanical,Mechanical,Align pump P-101,Perform alignment and preliminary checks for pump P-101,P-101,Pump Area A,Mechanical,MEC-004,2026-01-24,2026-01-25,2,Not Started
MEC-006,SYN-IND-001,Pump Area A/Mechanical,Mechanical,Complete pump inspection P-101,Final mechanical inspection and readiness check for pump P-101,P-101,Pump Area A,Mechanical,MEC-005,2026-01-27,2026-01-28,2,Not Started
ELE-007,SYN-IND-001,Pump Area A/Electrical,Electrical,Connect motor power for P-101,Terminate and connect motor power supply for pump P-101,P-101,Pump Area A,Electrical,MEC-006,2026-01-30,2026-01-31,2,Not Started
CIV-008,SYN-IND-001,Pump Area A/Civil,Civil,Excavate foundation F-102,Excavation for equipment foundation F-102,F-102,Pump Area A,Civil,,2026-01-05,2026-01-07,3,Not Started
CIV-009,SYN-IND-001,Pump Area A/Civil,Civil,Cast concrete foundation F-102,Concrete pouring and casting for foundation F-102,F-102,Pump Area A,Civil,CIV-008,2026-01-09,2026-01-12,4,Not Started
CIV-010,SYN-IND-001,Pump Area A/Civil,Civil,Cure foundation F-102,Curing and strength development for foundation F-102,F-102,Pump Area A,Civil,CIV-009,2026-01-14,2026-01-18,5,Not Started
MEC-011,SYN-IND-001,Pump Area A/Mechanical,Mechanical,Install pump P-102,Position and install centrifugal pump P-102,P-102,Pump Area A,Mechanical,CIV-010,2026-01-20,2026-01-22,3,Not Started
MEC-012,SYN-IND-001,Pump Area A/Mechanical,Mechanical,Align pump P-102,Perform alignment and preliminary checks for pump P-102,P-102,Pump Area A,Mechanical,MEC-011,2026-01-24,2026-01-25,2,Not Started
MEC-013,SYN-IND-001,Pump Area A/Mechanical,Mechanical,Complete pump inspection P-102,Final mechanical inspection and readiness check for pump P-102,P-102,Pump Area A,Mechanical,MEC-012,2026-01-27,2026-01-28,2,Not Started
ELE-014,SYN-IND-001,Pump Area A/Electrical,Electrical,Connect motor power for P-102,Terminate and connect motor power supply for pump P-102,P-102,Pump Area A,Electrical,MEC-013,2026-01-30,2026-01-31,2,Not Started
PIP-015,SYN-IND-001,Pump Area A/Piping,Piping,Install piping spool SP-101,Erection and installation of piping spool SP-101,SP-101,Pump Area A,Piping,,2026-01-15,2026-01-17,3,Not Started
PIP-016,SYN-IND-001,Pump Area A/Piping,Piping,Perform fit-up for piping spool SP-101,Joint fit-up and preparation for welding of spool SP-101,SP-101,Pump Area A,Piping,PIP-015,2026-01-19,2026-01-20,2,Not Started
PIP-017,SYN-IND-001,Pump Area A/Piping,Piping,Weld piping spool SP-101,Complete welding work for piping spool SP-101,SP-101,Pump Area A,Piping,PIP-016,2026-01-22,2026-01-24,3,Not Started
PIP-018,SYN-IND-001,Pump Area A/Piping,Piping,Inspect welds for piping spool SP-101,Visual and quality inspection of weld joints for spool SP-101,SP-101,Pump Area A,Piping,PIP-017,2026-01-26,2026-01-27,2,Not Started
PIP-019,SYN-IND-001,Pump Area A/Piping,Piping,Hydrotest piping spool SP-101,Pressure and hydrostatic testing of installed spool SP-101,SP-101,Pump Area A,Piping,PIP-018,2026-01-29,2026-01-30,2,Not Started
PIP-020,SYN-IND-001,Pump Area A/Piping,Piping,Install piping spool SP-102,Erection and installation of piping spool SP-102,SP-102,Pump Area A,Piping,,2026-01-15,2026-01-17,3,Not Started
PIP-021,SYN-IND-001,Pump Area A/Piping,Piping,Perform fit-up for piping spool SP-102,Joint fit-up and preparation for welding of spool SP-102,SP-102,Pump Area A,Piping,PIP-020,2026-01-19,2026-01-20,2,Not Started
PIP-022,SYN-IND-001,Pump Area A/Piping,Piping,Weld piping spool SP-102,Complete welding work for piping spool SP-102,SP-102,Pump Area A,Piping,PIP-021,2026-01-22,2026-01-24,3,Not Started
PIP-023,SYN-IND-001,Pump Area A/Piping,Piping,Inspect welds for piping spool SP-102,Visual and quality inspection of weld joints for spool SP-102,SP-102,Pump Area A,Piping,PIP-022,2026-01-26,2026-01-27,2,Not Started
PIP-024,SYN-IND-001,Pump Area A/Piping,Piping,Hydrotest piping spool SP-102,Pressure and hydrostatic testing of installed spool SP-102,SP-102,Pump Area A,Piping,PIP-023,2026-01-29,2026-01-30,2,Not Started
ELE-025,SYN-IND-001,Pump Area A/Electrical,Electrical,Install cable tray CT-101,Install and support electrical cable tray CT-101,CT-101,Pump Area A,Electrical,,2026-01-17,2026-01-19,3,Not Started
