report_id,report_date,source_type,raw_text,report_category,expected_event_type,expected_progress
RPT-0001,2026-01-07,DPR,Excavate work for F 101 10% complete at PA-A.,Normal,PROGRESS,10
RPT-0002,2026-01-05,Field App,Excavate work for F-101 60% complete at pump A.,Normal,PROGRESS,60
RPT-0003,2026-01-07,Voice Transcript,F-101 foundation digging finished.,Abbreviation,FINISH,100
RPT-0004,2026-01-06,Supervisor Text,pump area a f 101 excavate work finished,Noisy,FINISH,100
RPT-0005,2026-01-06,Supervisor Text,F 101 excavate done.,Incomplete,FINISH,100
RPT-0006,2026-01-06,DPR,Foundation work 90% complete.,Ambiguous,PROGRESS,90
RPT-0007,2026-01-10,Supervisor Text,Cast work for F 101 90% complete at PA-A.,Normal,PROGRESS,90
RPT-0008,2026-01-11,Field App,F101 pour concrete begun in Pump Area A.,Normal,START,0
RPT-0009,2026-01-10,Field App,F101 cast finished.,Abbreviation,FINISH,100
RPT-0010,2026-01-09,Field App,pa a f-101 concrete casting work finished,Noisy,FINISH,100
RPT-0011,2026-01-10,Supervisor Text,F 101 concreting 90% complete.,Incomplete,PROGRESS,90
RPT-0012,2026-01-10,Field App,Pour Concrete completed.,Ambiguous,FINISH,100
RPT-0013,2026-01-15,Field App,F 101 curing 60% complete in pump A.,Normal,PROGRESS,60
RPT-0014,2026-01-15,Voice Transcript,Civil update: cure of F-101 completed at Pump Area A.,Normal,FINISH,100
RPT-0015,2026-01-14,DPR,f-101 curing 50% complete.,Abbreviation,PROGRESS,50
RPT-0016,2026-01-17,Field App,pa a f 101 cure work 60% complete,Noisy,PROGRESS,60
RPT-0017,2026-01-18,Field App,Cure work finished.,Incomplete,FINISH,100
RPT-0018,2026-01-14,Supervisor Text,Foundation work done.,Ambiguous,FINISH,100
RPT-0019,2026-01-20,DPR,Mechanical update: install of P 101 started at PA-A.,Normal,START,0
RPT-0020,2026-01-21,Field App,Mechanical update: installation of P-101 90% complete at PA-A.,Normal,PROGRESS,90
RPT-0021,2026-01-20,Supervisor Text,p-101 placed finished.,Abbreviation,FINISH,100
RPT-0022,2026-01-20,Field App,p 101 placed done at pump a,Noisy,FINISH,100
RPT-0023,2026-01-20,DPR,P-101 placed completed.,Incomplete,FINISH,100
RPT-0024,2026-01-21,Voice Transcript,Equipment work finished.,Ambiguous,FINISH,100
RPT-0025,2026-01-24,DPR,P101 align done in pump A.,Normal,FINISH,100
RPT-0026,2026-01-24,DPR,p-101 alignment done in PA A.,Normal,FINISH,100
RPT-0027,2026-01-25,Field App,P 101 align completed @ Pump Area A,Abbreviation,FINISH,100
RPT-0028,2026-01-24,DPR,pump a p 101 align work completd,Noisy,FINISH,100
RPT-0029,2026-01-25,Voice Transcript,P-101 align 60% complete.,Incomplete,PROGRESS,60
RPT-0030,2026-01-25,Supervisor Text,Equipment work done.,Ambiguous,FINISH,100
RPT-0031,2026-01-28,Field App,Mechanical update: quality check of p-101 commenced at PA A.,Normal,START,0
RPT-0032,2026-01-27,DPR,P101 inspect finished in Pump Area A.,Normal,FINISH,100
RPT-0033,2026-01-27,DPR,P101 inspect 60% complete @ Pump Area A,Abbreviation,PROGRESS,60
RPT-0034,2026-01-27,Voice Transcript,p-101 inspec 25% complete at pump area a,Noisy,PROGRESS,25
RPT-0035,2026-01-28,Field App,P 101 work 60% complete.,Incomplete,PROGRESS,60
RPT-0036,2026-01-27,Voice Transcript,Equipment work done.,Ambiguous,FINISH,100
RPT-0037,2026-01-31,Field App,Motor Power Hookup work for P-101 60% complete at Pump Area A.,Normal,PROGRESS,60
RPT-0038,2026-01-31,Supervisor Text,Power Connected work for P-101 begun at PA-A.,Normal,START,0
RPT-0039,2026-01-30,Supervisor Text,P-101 motor power hookup 90% complete @ PA A,Abbreviation,PROGRESS,90
RPT-0040,2026-01-31,Field App,p-101 power connected done at pa-a,Noisy,FINISH,100
RPT-0041,2026-01-30,Voice Transcript,P 101 power connected 90% complete.,Incomplete,PROGRESS,90
RPT-0042,2026-01-31,Field App,Electrical work update: 10% complete.,Ambiguous,PROGRESS,10
RPT-0043,2026-01-07,Field App,Excavate work for f-102 60% complete at Pump Area A.,Normal,PROGRESS,60
RPT-0044,2026-01-06,Supervisor Text,Excavation work for F 102 completed at PA-A.,Normal,FINISH,100
RPT-0045,2026-01-07,DPR,F-102 excavate commenced @ PA A,Abbreviation,START,0
RPT-0046,2026-01-06,DPR,f-102 excavate completd at pa-a,Noisy,FINISH,100
RPT-0047,2026-01-06,Field App,F 102 foundation digging finished.,Incomplete,FINISH,100
RPT-0048,2026-01-05,Voice Transcript,Foundation work 10% complete.,Ambiguous,PROGRESS,10
RPT-0049,2026-01-12,Supervisor Text,Cast work for F102 finished at PA-A.,Normal,FINISH,100
RPT-0050,2026-01-12,Supervisor Text,Civil update: concreting of F-102 finished at PA A.,Normal,FINISH,100
RPT-0051,2026-01-09,DPR,PA A: F-102 concrete casting commenced,Abbreviation,START,0
RPT-0052,2026-01-10,Supervisor Text,pump a f 102 cast work 40% complete,Noisy,PROGRESS,40
RPT-0053,2026-01-09,Supervisor Text,Concrete Casting work done.,Incomplete,FINISH,100
RPT-0054,2026-01-12,Supervisor Text,Foundation work update: 75% complete.,Ambiguous,PROGRESS,75
RPT-0055,2026-01-17,Field App,Civil update: cure of F 102 done at PA-A.,Normal,FINISH,100
RPT-0056,2026-01-15,Voice Transcript,f-102 curing 40% complete in Pump Area A.,Normal,PROGRESS,40
RPT-0057,2026-01-15,Voice Transcript,pump A: F 102 curing 60% complete,Abbreviation,PROGRESS,60
RPT-0058,2026-01-14,Field App,pump area a f102 curing work 90% complete,Noisy,PROGRESS,90
RPT-0059,2026-01-15,Voice Transcript,F102 cure 25% complete.,Incomplete,PROGRESS,25
RPT-0060,2026-01-18,Field App,Foundation work update: 90% complete.,Ambiguous,PROGRESS,90
RPT-0061,2026-01-22,DPR,Installation work for p-102 50% complete at pump A.,Normal,PROGRESS,50
RPT-0062,2026-01-22,Voice Transcript,Mechanical update: installation of P-102 started at pump A.,Normal,START,0
RPT-0063,2026-01-22,Supervisor Text,Pump Area A: P102 mounted completed,Abbreviation,FINISH,100
RPT-0064,2026-01-22,Voice Transcript,p-102 placed begun at pump a,Noisy,START,0
RPT-0065,2026-01-20,Supervisor Text,P102 work done.,Incomplete,FINISH,100
RPT-0066,2026-01-22,DPR,Erection completed.,Ambiguous,FINISH,100
RPT-0067,2026-01-24,Voice Transcript,Align work for P102 finished at pump A.,Normal,FINISH,100
RPT-0068,2026-01-25,DPR,p-102 align completed in pump A.,Normal,FINISH,100
RPT-0069,2026-01-25,Voice Transcript,pump A: p-102 align begun,Abbreviation,START,0
RPT-0070,2026-01-25,DPR,pump a p102 align work done,Noisy,FINISH,100
RPT-0071,2026-01-24,Voice Transcript,p-102 work completed.,Incomplete,FINISH,100
RPT-0072,2026-01-25,Field App,Equipment work 75% complete.,Ambiguous,PROGRESS,75
RPT-0073,2026-01-28,Voice Transcript,p-102 inspection done in PA A.,Normal,FINISH,100
RPT-0074,2026-01-27,Supervisor Text,Inspect work for p-102 done at PA A.,Normal,FINISH,100
RPT-0075,2026-01-27,Field App,P-102 inspect completed @ Pump Area A,Abbreviation,FINISH,100
RPT-0076,2026-01-28,Field App,pump area a p-102 inspec work done,Noisy,FINISH,100
RPT-0077,2026-01-27,Supervisor Text,P-102 checked 75% complete.,Incomplete,PROGRESS,75
RPT-0078,2026-01-27,DPR,Equipment work update: 50% complete.,Ambiguous,PROGRESS,50
RPT-0079,2026-01-31,Supervisor Text,Electrical update: power connected of P-102 40% complete at Pump Area A.,Normal,PROGRESS,40
RPT-0080,2026-01-31,Supervisor Text,Power Connected work for P 102 done at Pump Area A.,Normal,FINISH,100
RPT-0081,2026-01-31,Voice Transcript,p-102 power connected 90% complete @ PA-A,Abbreviation,PROGRESS,90
RPT-0082,2026-01-31,Field App,pa a p 102 motor connection work completd,Noisy,FINISH,100
RPT-0083,2026-01-31,Field App,Motor Connection work 60% complete.,Incomplete,PROGRESS,60
RPT-0084,2026-01-31,DPR,Electrical work update: done.,Ambiguous,FINISH,100
RPT-0085,2026-01-16,Field App,SP101 installation finished in Pump Area A.,Normal,FINISH,100
RPT-0086,2026-01-16,Field App,Install work for sp-101 75% complete at pump A.,Normal,PROGRESS,75
RPT-0087,2026-01-17,Supervisor Text,PA A: SP101 placed done,Abbreviation,FINISH,100
