report_id,correct_activity_id,label_type,verification_source
RPT-0001,CIV-001,MATCHED,Synthetic Generator
RPT-0002,CIV-001,MATCHED,Synthetic Generator
RPT-0003,CIV-001,MATCHED,Synthetic Generator
RPT-0004,CIV-001,MATCHED,Synthetic Generator
RPT-0005,CIV-001,MATCHED,Synthetic Generator
RPT-0006,CIV-001,AMBIGUOUS,Synthetic Generator
RPT-0007,CIV-002,MATCHED,Synthetic Generator
RPT-0008,CIV-002,MATCHED,Synthetic Generator
RPT-0009,CIV-002,MATCHED,Synthetic Generator
RPT-0010,CIV-002,MATCHED,Synthetic Generator
RPT-0011,CIV-002,MATCHED,Synthetic Generator
RPT-0012,CIV-002,AMBIGUOUS,Synthetic Generator
RPT-0013,CIV-003,MATCHED,Synthetic Generator
RPT-0014,CIV-003,MATCHED,Synthetic Generator
RPT-0015,CIV-003,MATCHED,Synthetic Generator
RPT-0016,CIV-003,MATCHED,Synthetic Generator
RPT-0017,CIV-003,MATCHED,Synthetic Generator
RPT-0018,CIV-003,AMBIGUOUS,Synthetic Generator
RPT-0019,MEC-004,MATCHED,Synthetic Generator
RPT-0020,MEC-004,MATCHED,Synthetic Generator
RPT-0021,MEC-004,MATCHED,Synthetic Generator
RPT-0022,MEC-004,MATCHED,Synthetic Generator
RPT-0023,MEC-004,MATCHED,Synthetic Generator
RPT-0024,MEC-004,AMBIGUOUS,Synthetic Generator
RPT-0025,MEC-005,MATCHED,Synthetic Generator
RPT-0026,MEC-005,MATCHED,Synthetic Generator
RPT-0027,MEC-005,MATCHED,Synthetic Generator
RPT-0028,MEC-005,MATCHED,Synthetic Generator
RPT-0029,MEC-005,MATCHED,Synthetic Generator
RPT-0030,MEC-005,AMBIGUOUS,Synthetic Generator
RPT-0031,MEC-006,MATCHED,Synthetic Generator
RPT-0032,MEC-006,MATCHED,Synthetic Generator
RPT-0033,MEC-006,MATCHED,Synthetic Generator
RPT-0034,MEC-006,MATCHED,Synthetic Generator
RPT-0035,MEC-006,MATCHED,Synthetic Generator
RPT-0036,MEC-006,AMBIGUOUS,Synthetic Generator
RPT-0037,ELE-007,MATCHED,Synthetic Generator
RPT-0038,ELE-007,MATCHED,Synthetic Generator
RPT-0039,ELE-007,MATCHED,Synthetic Generator
RPT-0040,ELE-007,MATCHED,Synthetic Generator
RPT-0041,ELE-007,MATCHED,Synthetic Generator
RPT-0042,ELE-007,AMBIGUOUS,Synthetic Generator
RPT-0043,CIV-008,MATCHED,Synthetic Generator
RPT-0044,CIV-008,MATCHED,Synthetic Generator
RPT-0045,CIV-008,MATCHED,Synthetic Generator
RPT-0046,CIV-008,MATCHED,Synthetic Generator
RPT-0047,CIV-008,MATCHED,Synthetic Generator
RPT-0048,CIV-008,AMBIGUOUS,Synthetic Generator
RPT-0049,CIV-009,MATCHED,Synthetic Generator
RPT-0050,CIV-009,MATCHED,Synthetic Generator
RPT-0051,CIV-009,MATCHED,Synthetic Generator
RPT-0052,CIV-009,MATCHED,Synthetic Generator
RPT-0053,CIV-009,MATCHED,Synthetic Generator
RPT-0054,CIV-009,AMBIGUOUS,Synthetic Generator
RPT-0055,CIV-010,MATCHED,Synthetic Generator
RPT-0056,CIV-010,MATCHED,Synthetic Generator
